Stock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
GENZ,4295281.5458441805,6885435.809360823,1677217.1415359336,-3112846.3384645646,-6159562.048938177,2025171.5563867516,4767681.736691323,-2073415.0026644699,-222026.46536492382,2688553.2081192806,-1837767.197733484,687633.4846383171,-11965639.349243836,8117994.20778412,-5807088.570699746,13032311.712447755,-4042343.0817464665,-9440202.159540197,7119209.411301816,3622332.1857729754,-9943605.148201428,8331798.575259192,-7357284.15561766,-2131035.1904103593,21050860.62396995,-17516553.179160118,-2236050.785935053,-5640385.079413408,-8128409.440621627,3708627.878895092,28233142.994362045,10686948.388527159,15229891.86325226,14715389.358316649,2482077.266035742,-4708545.305538508,14024824.842121603,6934573.481956394,1848213.897236656,7145576.3223035885,8354106.4148179265,-5011218.561294795,5025000.343861531,3346285.2951183156,4241019.694356185,19660651.24117811,6014310.392443606,-1705961.7244485365,284267.29886290693,2077219.3078345763,9525951.011171326,-2369423.433589961,-6379057.330017413,3995716.7699691765,709698.3449455621,-233753.59270472138,-3155918.9456842663,4138889.904162956,9551969.285691699,-1919938.462304314,2616821.2734168563,-4601241.565972758,5191090.59866873,-466001.9980679688,1841831.7728718112
ADM,9836975.623673674,42225426.02321076,19241593.624183297,-12650037.624087192,6597931.111620653,26518900.867334373,9871711.947160352,28317748.28061749,39891453.10663005,17995513.162616134,27958413.4947055,18675420.398508027,31603277.927385036,12223221.411784599,23046569.30228115,12829830.06403728,5422344.329964745,3612232.1726429667,-11024143.556255883,-1988177.7012904913,-5185126.172301741,10555481.407256588,16307557.499326756,1431700.7779774405,-307436.24658156605,876455.553956207,429362.7880419715,2386428.116456733,-2677125.6500953445,1961174.7216237031,-2614085.8293489027,1681840.1387339241,3201152.809884852,3017991.875886575,6410241.315431082,-2706051.2561103953,2942350.7540673325,-1560385.792074228,3316949.4115327583,-747315.670828021,-20886373.140370235,16281171.37247074,-2331209.0621791286,962605.4831998025,14567554.410152096,20272711.673008412,10076537.738562612,-10050540.31204238,-11704177.574577553,18544471.29182077,7136255.166504611,2357986.0466345884,-2574291.750395824,-14206040.246909227,-9874927.845588228,-1974588.9942674255,10534999.208121942,-65126587.22152565,347208.42666176736,-2816282.6014613416,-22256595.251284327,-3855211.789170464,862038.7740148148,9891276.854020221,-284620.89448242827
SOV,-1866871.1211282308,1341219.9035990152,4261877.279787239,-3520265.9860602524,13526944.42139683,12119854.333045151,5184281.209945589,6588808.260534469,6603150.887721538,1310063.9562360193,12546850.221410375,1182667.1244043703,1312481.9521736202,8263143.0792228365,-311995.53941561485,-682459.2057901894,119872.71696171898,-2159567.248817866,417565.11270227423,-1103423.2912177432,2537699.1379409637,-8861202.59953022,-3056279.554553604,-11324425.051859107,-1209123.629721621,-3023681.8406707705,2292380.762317079,-786931.6825645573,-2153536.1045417613,-1629458.3041406746,-1741690.373517325,-5650127.124671704,2521545.776711427,3795731.590747297,3561284.7295146165,-1392807.3318898166,16234882.867198128,-424807.3957695418,8759772.13858781,-612447.4030573012,3751145.1566083473,2159401.252160238,823285.7251136703,1369498.1535070534,-3078628.7186423163,-1229519.796927778,36505.51199483269,-1441952.7030248155,-127644.38378408157,-880108.4032209177,-2571444.097749867,-2084304.6329039363,2184889.5983694973,-1469248.3287335846,1279071.873837704,4111536.9260662664,-1647313.2177411022,-70596.95891526091,-1897609.1420757473,1561691.6275913485,1525218.8307802987,-914793.4482392183,-431797.8835270323,-1990645.716292789,-1087488.329657831
FISV,-552613.6274621583,-5282637.800671594,-21201643.61207458,-13765650.710111983,-915688.1755264383,401721.52819888125,-2120074.2198357335,-4050648.0581364795,1551993.943306334,2564152.499953759,-1666816.438704896,3640747.302861011,527080.6656359079,11976643.933833325,2375110.7351844283,1520583.1647620539,-4591814.301995462,-67764.3008338184,-2560190.767555487,1499759.6267989813,-4585753.8658689,-22134865.459040098,-4028517.859243036,-2703825.0594943264,-1704823.0749925643,-16135383.936741292,-293576.0262025425,4963244.301660641,416976.27135867294,4623109.75953056,-10010507.55751157,-12998986.822879536,-3988594.7634022883,13177082.066309726,4358133.143179982,-4038920.735262856,-2213714.6538780644,-4952533.907030164,-3159981.70152516,1325500.8889591226,7164217.888534716,3680806.5601201807,260984.6979181645,-1584683.0194214801,16769490.200038208,-3753094.224352708,624582.7472120407,2075445.444474867,-3841140.2102817213,2890254.144592512,-3180241.4516390776,-1215694.8428429165,3053484.8140121317,-534364.3304598602,6438501.101678865,17724787.600786705,6582080.335593477,-1072949.1580106448,6955892.434980714,2010591.112400497,-1035176.0200939452,6935601.925888592,-1465905.622795058,-79147.85198566342,-1256688.4951701707
UIS,1039946.5913037977,1889350.316318425,7971430.223363302,10015667.59964525,2533921.3392585944,233499.48392076523,19775526.02718917,3427870.6790216533,2145915.344642051,45731.86633742438,-459426.06490023335,-8652367.951273188,-5301470.971181748,891664.5559415779,1244479.019730985,-1035109.0587229813,-5672722.24494995,-74787.91828133917,-348632.6700590539,-1448694.7597315498,-1378116.9937427707,3030403.184514223,9486000.37589629,15369965.550433308,2462061.9777027564,-1937401.5168626877,-2773346.971895666,-1266137.3591814353,-1485620.0284694016,-3225059.8078596434,-11102914.70090719,-2013545.0579476608,-639338.3310630568,182580.0294056526,419907.8496030488,-1989150.5270690112,3112062.7334755245,-6548109.126376678,-2838186.046369096,-1506091.6088707403,-1305470.490300264,-1784866.6109965066,1068160.6203551192,768865.935209846,-1692702.0131343694,-484694.18433546636,409519.0093728498,-24301.21971040968,1575499.2401664173,-806585.4747142898,-2651814.3043097667,-1271144.1487489706,-947354.7811237107,105328.4336520624,-670017.4610026227,-1108512.6004147308,-601002.9214857911,262509.6547656866,73907.60276033064,-711618.2688099757,439850.4834390501,937779.5566048651,1123795.543256244,800183.1566011455,851583.6827347918
DELL,-3702809.8773537404,-10753125.387314936,-15548526.999962766,-24812018.89362009,-14106357.80339749,15348677.867435748,-2057274.360680025,-15642219.796643198,89562983.23616059,26629000.57177204,36836859.42874275,41182478.67820126,47707454.17579132,-11434620.134793641,-41926355.07511575,63667391.231464386,6382418.932581739,16549108.96471558,38904824.45996947,-26263640.960457418,-31811922.267587047,6645228.069382169,-2566830.790208334,-8907110.856430568,22770796.68784345,-8888907.013045443,31940460.891770232,-26950626.99796807,-33042062.36638069,-23293815.4520962,20042569.174092498,35154999.63879567,-18055026.38002342,-14103866.560849283,65839483.35759018,-1323884.6958337158,8638614.339454597,-650284.1822975887,-15298177.153811714,-3079340.9926304305,-3391078.880394281,-57793235.19530041,-7921812.492585456,-5339667.186969966,7929270.15493161,-12621391.480940433,6009001.962181363,-14732991.23299229,9196273.851519223,-33772458.88995723,5272939.643466722,-23495059.66955106,-34446665.73526711,-28185383.86451147,-14592930.474502914,-68062286.91544369,623951.6087081477,20040190.790039904,16510310.080064517,35088880.29987764,19142774.719954193,-135485.35078865598,33649992.814883314,6440816.247771445,4829072.665487994
KO,-32234340.375876993,1584091.3597438403,26474497.06406159,-9340968.427787656,-23144932.141527247,3027956.9185631024,-17397117.394362792,-24060561.545677114,-1112151.328737867,-26590298.957483213,14969201.961563352,11701386.16892718,9054175.11468187,-6459485.681453558,3183116.4585014945,18364288.1644773,8008945.8933451595,37537482.14696655,7987534.593538185,-13843372.893270554,-18522981.785356794,-11469862.658652408,4027685.168816731,-17659070.72547036,12316615.705938686,9429762.984959273,42550339.04907296,22563532.198259242,-13293837.917520015,-16530978.074082442,40417624.77726297,-12755256.672650587,3539306.0118171205,173031.36275635674,24134989.43629463,13150613.871100916,50113975.01208389,1154779.7536253245,-25578753.826527573,-750359.2222873888,-17079588.56811889,51193066.58189929,25605142.60126431,2610096.028503086,-2896299.217901042,6794185.872014443,-4848224.165236614,-577044.6345849923,-21115385.47641853,6428696.00039619,-5408304.013190851,-11824807.561684996,-1475268.0302081937,-15581376.249017244,20037544.689866945,-14695929.002344245,28455617.564870927,-4627015.706467587,8951364.908756886,-3637943.244133219,-20365094.32013276,-4516422.123060795,-4428112.724761995,-14010917.499198113,-10918953.403156405
ED,-7673701.646255467,-339977.14597175416,8340352.502447593,-277167.2731478327,7482485.606360672,-8244562.05075175,-303057.7147404197,1270507.455853055,2956044.953280983,-219813.0769040693,2583859.925751625,-4453841.268028459,-2043570.9034303264,11539913.745144077,10440393.98222174,-2393990.726353381,-1599784.1899788377,-4981362.276861505,486445.00781163614,4353550.747339098,3388541.7907925695,4170242.6559925056,-8298421.070158404,-1491671.0645962555,11424953.507968415,28091219.687042892,4516143.371792292,1791659.4278948023,-1973519.600063253,-696537.7897364356,-4582481.185327883,-8575993.585345848,3236817.0542563265,15986729.474184537,26632507.43937237,988484.7010668548,-3235418.2422782234,7142962.633419335,6856848.254794666,-4971806.397295577,6779661.4882546505,13120941.546546364,1967958.9384347645,5542227.617248982,4220070.739193113,-2188504.117977421,-2843123.2132687354,-10615018.829337552,-7285259.333756354,1021473.2838885385,-3561037.331746975,1653156.6906162524,3519384.6609527273,3864756.0835613967,-2469333.4636213775,-1652126.5633519378,733075.1280605006,4295833.80731519,1113160.9423477482,590182.6727080606,2444615.5423590373,1492607.709362675,3950504.971333613,-1739027.8871496597,-212196.8165391242
CELG,-92737.36256749244,-2160970.5395922647,1675756.509318258,7938885.47935335,-9920902.507468078,19590453.914568532,7018039.550192794,130570.97101724036,13852915.577541303,3782824.0867981724,-652735.5328042121,-3224759.349228582,8953461.351623813,1734610.1089422572,1293442.8315273614,6785934.82843149,120385.25012713387,3772116.6263979147,-6895042.67233475,4797893.076513248,1183231.262521069,3369557.3760351227,-16768310.816046555,10899808.625591295,-10966571.580375427,-1467939.6123391148,10725299.324187376,569240.2375637376,-6673657.775305534,-4823869.300920724,3339739.280489247,-9735187.68161679,-1504504.0959878867,6914202.500886972,-8792102.778781202,-7767934.057103912,1334141.4795415814,12141116.057503644,8484860.735199958,-89136073.67695457,-805052.8801541507,3027622.125980097,-12960753.974545574,-974630.1473028397,1392523.2264248054,2904713.9460048364,-1232327.8462631837,9519712.369790712,8515980.323915482,-2589882.883627121,18177110.94744295,1891091.355544692,3207655.784595078,-12890001.842089055,20418158.69331214,8894927.379352517,3063412.5154200247,-1879456.3421283257,142846.89762165828,-5882694.15651525,-10488710.096970063,-2783293.2732097944,12217036.096413983,10578985.373498416,-10208001.382360213
FAST,1065933.753462802,1306214.1070947803,-1110557.411952431,564669.925995472,-1298536.0288181605,7225689.830556349,-11449379.110005109,2519594.210767963,-3750655.215267685,-246585.0956057341,-275555.1891224379,-364618.54011502466,-1766793.2483045636,-696865.1467305421,624546.9589098973,-1783518.6529720675,3577875.020673783,-2450095.364480911,-9371417.435940836,-6416899.192773473,2443402.4054561127,-2380090.498678821,-7505800.118598373,-600067.8559830501,332095.8347475867,-7528558.441344167,-881362.0238055844,-1400606.889810858,-5184406.058575372,-2167918.7707247627,-411501.53216513636,-2218538.619300958,-2622882.8646997833,-5281133.138512318,10747952.929584943,-4808033.947137081,52128.42164096162,-4252807.6253320975,4204834.1256663585,6696403.138177071,-12983635.498344453,-255222.81802006895,-1027298.8896717388,-868155.5122473917,-3268654.290478985,773749.8557386271,1584810.3692781667,-2093693.7547046815,-10742160.275654936,685615.2579928506,2458017.519774001,651101.0425382877,-1379475.5922643372,-5665359.937832933,1971128.944005265,-1453143.1573078826,-1041698.8420560214,177583.55114593697,223477.7045117641,-414705.78412987234,631543.1512241812,1014908.845339027,2224406.3157573747,459403.0168718651,-371820.8069654608
